Date,Ticker,Strategy,Product,Side,EntryPrice,Qty,SL,SL_Limit,Target,OrderId,EntryTime,Status
2026-07-03,BHEL.NS,MOMENTUM,MIS,SELL,395.5,500,399.5,399.55,389.55,PAPER-3055472902,2026-07-03 10:41:12 IST,CLOSED
2026-07-03,IRFC.NS,MOMENTUM,MIS,SELL,90.9,3333,91.5,91.55,89.55,PAPER-3055473574,2026-07-03 10:41:13 IST,CLOSED
2026-07-03,PHOENIXLTD.NS,SWING,CNC,SELL,2038.3,79,2063.4,2063.45,1985.85,PAPER-3056068217,2026-07-03 10:51:08 IST,CLOSED
2026-07-03,CHALET.NS,SCALP,MIS,BUY,837.25,689,834.35,834.3,841.45,PAPER-3056693845,2026-07-03 11:01:33 IST,CLOSED
2026-07-03,TRENT.NS,SWING,CNC,SELL,3376.0,30,3441.9,3441.95,3282.45,PAPER-3056694494,2026-07-03 11:01:34 IST,CLOSED
2026-07-03,LEMONTREE.NS,SWING,CNC,BUY,119.9,1249,118.3,118.25,122.95,PAPER-3056960826,2026-07-03 11:06:00 IST,CLOSED
2026-07-03,APLAPOLLO.NS,SWING,CNC,BUY,1788.4,71,1760.45,1760.4,1838.6,PAPER-3058153749,2026-07-03 11:25:53 IST,CLOSED
2026-07-06,TAJGVK.NS,SCALP,MIS,BUY,341.85,1904,340.8,340.75,343.55,PAPER-3315899384,2026-07-06 11:01:39 IST,CLOSED
2026-07-06,BERGEPAINT.NS,MOMENTUM,MIS,SELL,522.3,493,526.35,526.4,514.45,PAPER-3315899874,2026-07-06 11:01:39 IST,CLOSED
2026-07-06,NMDC.NS,MOMENTUM,MIS,SELL,84.55,3076,85.2,85.25,83.25,PAPER-3326085844,2026-07-06 13:51:25 IST,CLOSED
2026-07-07,HINDPETRO.NS,MOMENTUM,MIS,SELL,403.75,597,407.1,407.15,397.7,PAPER-3400155857,2026-07-07 10:25:55 IST,CLOSED
2026-07-07,PRESTIGE.NS,SWING,CNC,BUY,1670.5,71,1642.6,1642.55,1720.3,PAPER-3401952608,2026-07-07 10:55:52 IST,CLOSED
2026-07-07,TRENT.NS,SWING,CNC,BUY,2984.0,25,2904.75,2904.7,3064.85,PAPER-3402300902,2026-07-07 11:01:40 IST,CLOSED
2026-07-08,BRIGADE.NS,SWING,CNC,SELL,518.75,228,527.5,527.55,503.1,PAPER-3488345576,2026-07-08 10:55:45 IST,CLOSED
2026-07-08,PAGEIND.NS,SWING,CNC,BUY,42110.0,2,41407.35,41407.3,43174.8,PAPER-3488959225,2026-07-08 11:05:59 IST,CLOSED
2026-07-08,CIPLA.NS,SWING,CNC,BUY,1432.6,88,1410.05,1410.0,1475.4,PAPER-3502165841,2026-07-08 14:46:05 IST,CLOSED
2026-07-08,TORNTPHARM.NS,SWING,CNC,BUY,4868.1,31,4804.6,4804.55,4998.2,PAPER-3502166343,2026-07-08 14:46:06 IST,CLOSED
2026-07-08,DIVISLAB.NS,SWING,CNC,BUY,6726.5,17,6612.85,6612.8,6911.65,PAPER-3502487169,2026-07-08 14:51:27 IST,CLOSED
2026-07-08,LUPIN.NS,SWING,CNC,BUY,2460.0,41,2412.05,2412.0,2527.25,PAPER-3502762066,2026-07-08 14:56:02 IST,CLOSED
2026-07-09,NAZARA.NS,SWING,CNC,SELL,303.6,317,309.9,309.95,295.4,PAPER-3575113477,2026-07-09 11:01:53 IST,CLOSED
2026-07-10,POLYCAB.NS,MOMENTUM,MIS,SELL,9105.5,25,9184.6,9184.65,8968.9,PAPER-3659705852,2026-07-10 10:31:45 IST,CLOSED
2026-07-10,OBEROIRLTY.NS,SWING,CNC,SELL,1915.2,67,1944.7,1944.75,1862.05,PAPER-3669563735,2026-07-10 13:16:03 IST,CLOSED
2026-07-13,HFCL.NS,SWING,CNC,SELL,216.6,624,219.8,219.85,210.9,PAPER-3933558504,2026-07-13 14:35:58 IST,CLOSED
2026-07-14,GODREJPROP.NS,SWING,CNC,BUY,2116.0,56,2080.5,2080.45,2174.15,PAPER-4006476293,2026-07-14 10:51:16 IST,CLOSED
2026-07-17,INDUSTOWER.NS,MOMENTUM,MIS,SELL,405.15,579,408.6,408.65,399.05,PAPER-4264769870,2026-07-17 10:36:09 IST,CLOSED
2026-07-17,PNB.NS,SWING,CNC,BUY,104.8,1600,103.55,103.5,107.5,PAPER-4269583692,2026-07-17 11:56:23 IST,CLOSED
2026-07-20,BHARTIARTL.NS,MOMENTUM,MIS,SELL,1932.2,142,1946.2,1946.25,1903.2,PAPER-4523955280,2026-07-20 10:35:55 IST,CLOSED
2026-07-20,DLF.NS,MOMENTUM,MIS,SELL,657.5,350,663.2,663.25,647.65,PAPER-4524560353,2026-07-20 10:46:00 IST,CLOSED
2026-07-20,PRESTIGE.NS,SWING,CNC,SELL,1683.9,75,1710.25,1710.3,1639.6,PAPER-4524855075,2026-07-20 10:50:55 IST,CLOSED
2026-07-20,HONAUT.NS,SWING,CNC,BUY,38185.0,4,37701.4,37701.35,39233.9,PAPER-4536272059,2026-07-20 14:01:12 IST,OPEN
2026-07-21,ONGC.NS,MOMENTUM,MIS,SELL,250.9,1081,252.75,252.8,247.15,PAPER-4609752619,2026-07-21 10:25:52 IST,CLOSED
2026-07-22,NHPC.NS,MOMENTUM,MIS,SELL,80.25,3636,80.8,80.85,79.05,PAPER-4696160705,2026-07-22 10:26:00 IST,CLOSED
2026-07-22,BIOCON.NS,SWING,CNC,BUY,435.8,388,430.65,430.6,446.9,PAPER-4712052380,2026-07-22 14:50:52 IST,CLOSED
2026-07-23,RVNL.NS,MOMENTUM,MIS,SELL,222.75,1142,224.5,224.55,219.4,PAPER-4783459055,2026-07-23 10:40:59 IST,CLOSED
2026-07-23,ASIANPAINT.NS,SCALP,MIS,BUY,2685.9,180,2674.8,2674.75,2699.35,PAPER-4784676903,2026-07-23 11:01:16 IST,CLOSED
2026-07-23,INDHOTEL.NS,SCALP,MIS,BUY,723.0,740,720.3,720.25,726.6,PAPER-4784677595,2026-07-23 11:01:17 IST,CLOSED
2026-07-23,CHOLAFIN.NS,SWING,CNC,SELL,1725.6,87,1748.45,1748.5,1680.9,PAPER-4787370564,2026-07-23 11:46:10 IST,OPEN
2026-07-23,BAJFINANCE.NS,MOMENTUM,MIS,SELL,1051.1,251,1059.05,1059.1,1035.35,PAPER-4787967254,2026-07-23 11:56:07 IST,OPEN
2026-07-23,THYROCARE.NS,MOMENTUM,MIS,SELL,551.95,430,556.6,556.65,543.65,PAPER-4789758991,2026-07-23 12:25:58 IST,CLOSED
2026-07-23,TCI.NS,SWING,CNC,SELL,930.15,98,950.4,950.45,904.25,PAPER-4792148958,2026-07-23 13:05:48 IST,OPEN
